,Film_title,Director,Average_rating,Genres,Runtime,Original_language,Description,Studios,Watches,List_appearances,Likes,Fans,Lowest★,Medium★★★,Highest★★★★★,Total_ratings
10,Jodorowsky's Dune,Frank Pavich,3.96,['Documentary'],90.0,English,"Shot in France, England, Switzerland and the United States, this documentary covers director Alejandro Jodorowsky (El Topo, Holy Mountain, Santa Sangre) and his 1974 Quixotic attempt to adapt the seminal sci-fi novel Dune into a feature film. After spending 2 years and millions of dollars, the massive undertaking eventually fell apart, but the artists Jodorowsky assembled for the legendary project continued to work together. This group of artists, or his “warriors” as Jodorowsky named them, went on to define modern sci-fi cinema with such films as Alien, Blade Runner, Star Wars and Total Recall.","['Snowfort Pictures', 'Caméra One', 'Endless Picnic']",85388,16745,25616,188,209,6825,6696,56507
11,Get Out,Jordan Peele,4.15,"['Horror', 'Mystery', 'Thriller']",104.0,English,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","['Monkeypaw Productions', 'Blumhouse Productions', 'QC Entertainment']",4376009,454087,1867622,33000,10251,272655,943393,3121586
12,Lawrence of Arabia,David Lean,4.38,"['Adventure', 'War', 'History']",228.0,English,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",['Horizon Pictures'],369742,151348,116793,10000,1080,16158,86313,242207
13,Free Fire,Ben Wheatley,3.16,"['Action', 'Crime', 'Mystery']",90.0,English,"Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shoot-out and a game of survival.","['Rook Films', 'Protagonist Pictures', 'Film4 Productions']",109849,29433,21524,83,1528,22924,1853,81191
14,Sing Street,John Carney,4.04,"['Romance', 'Drama', 'Music', 'Comedy']",105.0,English,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"['Likely Story', 'FilmWave', 'Distressed Films', 'Cosmo Films', 'PalmStar Media', 'Fís Éireann/Screen Ireland', 'Merkel Media']",390910,90763,145995,10000,846,27808,55425,273809
15,Up,Pete Docter,4.1,"['Animation', 'Adventure', 'Family', 'Comedy']",96.0,English,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",['Pixar'],3922213,263407,1136383,9100,6354,230485,591788,2091274
16,Blade Runner,Ridley Scott,4.1,"['Thriller', 'Drama', 'Science Fiction']",118.0,English,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","['Shaw Brothers', 'The Ladd Company', 'Warner Bros. Pictures']",1658845,301778,573522,51000,6694,111183,309621,1095317
17,Annie Hall,Woody Allen,4.04,"['Drama', 'Romance', 'Comedy']",93.0,English,New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,"['United Artists', 'Rollins-Joffe Productions']",454236,121871,119958,6400,2829,30173,60635,273663
18,The Truman Show,Peter Weir,4.22,"['Comedy', 'Drama']",103.0,English,"Every second of every day, from the moment he was born, for the last thirty years, Truman Burbank has been the unwitting star of the longest running, most popular documentary-soap opera in history. The picture-perfect town of Seahaven that he calls home is actually a gigantic soundstage. Truman's friends and family - everyone he meets, in fact - are actors. He lives every moment under the unblinking gaze of thousands of hidden TV cameras.","['Paramount Pictures', 'Scott Rudin Productions']",4382819,361732,1777004,71000,5764,231650,930042,2926289
19,Wonder Woman,Patty Jenkins,3.24,"['Action', 'Fantasy', 'Adventure']",141.0,English,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,"['Atlas Entertainment', 'Cruel & Unusual Films', 'DC Films']",1721440,147437,320485,1600,25306,239158,70337,946010
20,Plan 9 from Outer Space,Edward D. Wood Jr.,2.24,"['Science Fiction', 'Horror']",79.0,English,"In California, an old man grieves the loss of his wife and on the next day he also dies. However, the space soldier Eros and her mate Tanna use an electric device to resurrect them both and the strong Inspector Clay that was murdered by the couple. Their intention is not to conquest Earth but to stop mankind from developing the powerful bomb “Solobonite” that would threaten the universe. When the population of Hollywood and Washington DC sees flying saucers on the sky, a colonel, a police lieutenant, a commercial pilot, his wife and a policeman try to stop the aliens.",['Reynolds Pictures'],61992,20589,11196,121,6724,4949,2272,35588
21,Whiplash,Damien Chazelle,4.42,"['Drama', 'Music']",107.0,English,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.","['Bold Films', 'Blumhouse Productions', 'Right of Way Films']",3925603,481379,1848733,154000,7390,146378,1272739,2963756
22,Weird Science,John Hughes,3.08,"['Comedy', 'Science Fiction', 'Fantasy']",93.0,English,"Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men.","['Universal Pictures', 'Silver Pictures']",141350,26516,26420,438,1942,21771,4897,76048
23,Raw,Julia Ducournau,3.69,"['Drama', 'Horror']",99.0,French,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form.","['Wild Bunch', 'Rouge International', 'BeTV', 'Frakas Productions', 'RTBF', 'Petit Film', 'VOO', 'Ezekiel Film Production']",519561,150570,150137,6600,5724,59758,41195,375195
24,Army of Darkness,Sam Raimi,3.71,"['Comedy', 'Horror', 'Fantasy']",81.0,English,"Ash, a handsome, shotgun-toting, chainsaw-armed department store clerk, is time warped backwards into England's Dark Ages, where he romances a beauty and faces legions of the undead.","['Renaissance Pictures', 'Dino de Laurentiis Communications']",363502,108548,123314,3500,1877,39826,34201,251175
25,Obvious Child,Gillian Robespierre,3.52,"['Comedy', 'Romance']",85.0,English,"An immature, newly unemployed comic must navigate the murky waters of adulthood after her fling with a graduate student results in an unplanned pregnancy.","['Sundial Pictures', 'Votiv Films', 'Rooks Nest Entertainment']",86399,25356,19499,245,477,11350,3137,51165
26,Django Unchained,Quentin Tarantino,4.3,"['Drama', 'Western']",165.0,English,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","['The Weinstein Company', 'Columbia Pictures']",3305105,373182,1284212,53000,5412,146781,715708,2237306
27,The Lost Boys,Joel Schumacher,3.66,"['Comedy', 'Thriller', 'Horror']",97.0,English,"When an unsuspecting town newcomer is drawn to local blood fiends, the Frog brothers and other unlikely heroes gear up to rescue him.",['Warner Bros. Pictures'],394218,116234,127921,9900,1352,44940,43582,254656
28,Star Trek II: The Wrath of Khan,Nicholas Meyer,3.93,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",112.0,English,"The starship Enterprise and its crew is pulled back into action when old nemesis, Khan, steals a top secret device called Project Genesis.",['Paramount Pictures'],139409,38943,38125,1300,256,10089,13833,81593
29,Stand by Me,Rob Reiner,4.16,"['Drama', 'Crime']",89.0,English,"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie, Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.","['Columbia Pictures', 'Act III Productions']",1165736,206422,425618,37000,1222,61649,217750,783704
30,Drive,Nicolas Winding Refn,3.92,"['Thriller', 'Drama', 'Crime']",100.0,English,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.","['FilmDistrict', 'Bold Films', 'Marc Platt Productions', 'OddLot Entertainment', 'Motel Movies', 'Newbridge Film Capital']",2091002,252448,711650,30000,9648,186913,267739,1444060
31,The Lion King,"Roger Allers, Rob Minkoff",4.22,"['Animation', 'Family', 'Drama']",89.0,English,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.","['Walt Disney Pictures', 'Walt Disney Feature Animation']",3005454,232354,769362,22000,5252,143058,515263,1478357
32,It Follows,David Robert Mitchell,3.45,"['Horror', 'Mystery']",101.0,English,"When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her defend herself.","['Two Flints', 'Northern Lights Films', 'Animal Kingdom']",974585,169618,243095,3600,14353,124825,54459,667040
33,The Goonies,Richard Donner,3.8,"['Adventure', 'Family', 'Comedy']",114.0,English,"A young teenager named Mikey Walsh finds an old treasure map in his father's attic. Hoping to save their homes from demolition, Mikey and his friends Data Wang, Chunk Cohen, and Mouth Devereaux run off on a big quest to find the secret stash of Pirate One-Eyed Willie.","['Amblin Entertainment', 'Warner Bros. Pictures']",854912,115427,223097,12000,3134,72477,86764,463218
34,Ant-Man,Peyton Reed,3.22,"['Adventure', 'Science Fiction', 'Action']",117.0,English,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",['Marvel Studios'],2261367,232211,418920,623,19938,369825,70190,1227742
35,Sicario,Denis Villeneuve,3.98,"['Action', 'Thriller', 'Crime']",122.0,English,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"['Thunder Road', 'Black Label Media', 'Lionsgate', 'Redrum']",961576,152641,280039,6300,2678,71199,92627,692373
36,Fantastic Planet,René Laloux,4.02,"['Animation', 'Science Fiction']",72.0,French,"On the planet Ygam, the Draags, extremely technologically and spiritually advanced blue humanoids, consider the tiny Oms, human beings descendants of Terra's inhabitants, as ignorant animals. Those who live in slavery are treated as simple pets and used to entertain Draag children; those who live hidden in the hostile wilderness of the planet are periodically hunted and ruthlessly slaughtered as if they were vermin.","['Argos films', 'Les Films Armorial', 'Office de Radiodiffusion Télévision Française', 'Krátký film Praha – Studio Jiřího Trnky', 'INA']",285509,86451,104559,5300,840,20510,37450,200590
37,Ghostbusters,Ivan Reitman,3.75,"['Comedy', 'Fantasy']",107.0,English,"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.","['Columbia Pictures', 'Delphi Films', 'Black Rhino Productions']",1416463,153843,317746,7500,4300,126012,106506,699777
38,Candy,Christian Marquand,2.37,"['Fantasy', 'Comedy', 'Adventure']",124.0,English,A high school girl encounters a variety of kookie characters and humorous sexual situations while searching for the meaning of life.,"['Corona Cinematografica', 'Dear Film']",8157,5330,1441,44,801,853,262,5438
39,Scarface,Howard Hawks,3.83,"['Crime', 'Drama']",93.0,English,"In 1920s Chicago, Italian immigrant and notorious thug, Antonio 'Tony' Camonte, aka Scarface, shoots his way to the top of the mobs while trying to protect his sister from the criminal life.","['The Caddo Company', 'United Artists']",64361,31911,15328,100,145,6276,4161,41106
40,Donnie Darko,Richard Kelly,3.98,"['Fantasy', 'Mystery', 'Drama']",114.0,English,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.","['Flower Films', 'Gaylord Films', 'Adam Fields Productions', 'Pandora Cinema', 'Newmarket Films']",2293445,323466,855547,79000,11344,180533,382060,1563516
41,El Topo,Alejandro Jodorowsky,3.77,"['Western', 'Drama', 'Adventure']",125.0,Spanish,"El Topo decides to confront warrior Masters on a trans-formative desert journey he begins with his 6 year old son, who must bury his childhood totems to become a man.",['Producciones Panicas'],84079,36139,22314,741,817,7305,7527,53421
42,Okja,Bong Joon Ho,3.71,"['Drama', 'Science Fiction', 'Adventure']",122.0,English,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.","['Kate Street Picture Company', 'Plan B Entertainment', 'Lewis Pictures']",641018,90065,155646,1600,3618,71506,41653,415715
43,My Neighbor Totoro,Hayao Miyazaki,4.19,"['Fantasy', 'Animation', 'Family']",86.0,Japanese,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.","['Studio Ghibli', 'Nibariki', 'Tokuma Shoten']",2122570,295250,806865,23000,2909,115321,451790,1349008
44,#Horror,Tara Subkoff,1.72,"['Thriller', 'Horror', 'Crime']",90.0,English,"Inspired by actual events, a group of 12 year old girls face a night of horror when the compulsive addiction of an online social media game turns a moment of cyber bullying into a night of insanity.","['AST Studios', 'Lowland Pictures', 'Ace Entertainment', 'Scream Factory', 'Spotlight Pictures']",10098,3458,658,10,1458,450,113,6614
45,Breathless,Jean-Luc Godard,3.92,"['Crime', 'Drama']",90.0,French,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he attempts to persuade a girl to run away to Italy with him.","['Les Films Impéria', 'Les Productions Georges de Beauregard', 'SNC']",339653,112179,95786,3600,1649,28673,36781,218640
46,Indiana Jones and the Temple of Doom,Steven Spielberg,3.65,"['Action', 'Adventure']",118.0,English,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.","['Paramount Pictures', 'Lucasfilm Ltd.']",1110951,134626,238616,2300,4569,118409,62501,601135
47,La Dolce Vita,Federico Fellini,4.27,"['Drama', 'Comedy']",176.0,Italian,"Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.","['Cinecittà Studios', 'Pathé Consortium Cinéma', 'Riama Film']",194778,95855,59644,3900,522,9178,38201,119256
48,"Synecdoche, New York",Charlie Kaufman,4.18,['Drama'],124.0,English,"A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.","['Likely Story', 'Projective Testing Service', 'Sidney Kimmel Entertainment', 'Russia']",326214,103488,110449,13000,2382,19043,68152,224147
49,The King of Comedy,Martin Scorsese,4.24,"['Comedy', 'Drama']",109.0,English,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.","['Embassy International Pictures', '20th Century Fox']",421907,128325,152006,3600,463,18582,58795,322277
50,A Ghost Story,David Lowery,3.77,"['Fantasy', 'Drama', 'Romance', 'Mystery']",93.0,English,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.","['Sailor Bear', 'Zero Trans Fat Productions', 'Ideaman Studios']",404921,113143,129920,7300,5618,40030,45592,296143
51,Masters of the Universe,Gary Goddard,2.51,"['Thriller', 'Adventure', 'Fantasy', 'Action', 'Science Fiction']",106.0,English,"When the evil Skeletor finds a mysterious power called the Cosmic Key, he becomes nearly invincible, seizing Castle Grayskull and the surrounding city. The Sorceress is now Skeletor's prisoner and he begins to drain her life-force as he waits for the moon of Eternia to align with the Great Eye of the Universe which will bestow god-like power upon him. However, courageous warrior He-Man locates the locksmith inventor Gwildor, who created the Key and has another version of it. During a battle, one of the Keys is transported to Earth, where it is found by teenagers Julie and Kevin. Now, both He-Man and Skeletor's forces arrive on Earth searching for the potent weapon.","['Pressman Film', 'The Cannon Group', 'Golan-Globus Productions']",49040,11420,6751,77,2359,6060,810,28151
52,The Iron Giant,Brad Bird,4.26,"['Science Fiction', 'Animation', 'Family', 'Adventure']",86.0,English,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",['Warner Bros. Feature Animation'],914263,128695,289940,12000,1101,39511,151346,500015
53,Moonlight,Barry Jenkins,4.2,['Drama'],111.0,English,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.","['A24', 'Plan B Entertainment', 'PASTEL']",1625264,319578,609941,36000,6852,93558,386952,1122283
54,Pulp Fiction,Quentin Tarantino,4.25,"['Crime', 'Thriller']",154.0,English,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","['Miramax', 'A Band Apart', 'Jersey Films']",4386659,528376,1907834,100000,15284,234759,1117204,2968938
55,The Fifth Element,Luc Besson,3.77,"['Action', 'Science Fiction', 'Adventure']",126.0,English,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",['Gaumont'],693525,86952,189078,9700,3266,60975,62210,389857
56,Top Gun,Tony Scott,3.43,"['Action', 'Drama']",110.0,English,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.","['Paramount Pictures', 'Don Simpson/Jerry Bruckheimer Films']",1276280,121034,275346,8200,8846,195261,78049,794877
57,Watchmen,Zack Snyder,3.66,"['Mystery', 'Science Fiction', 'Action']",163.0,English,"In a gritty and alternate 1985, the glory days of costumed vigilantes have been brought to a close by a government crackdown. But after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so they uncover a sinister plot that puts all of humanity in grave danger.","['Warner Bros. Pictures', 'Paramount Pictures', 'Legendary Pictures', 'DC', 'Lawrence Gordon Productions', 'Lloyd Levin Productions']",796013,91343,188176,3900,6922,81892,50702,475573
58,Rushmore,Wes Anderson,3.9,"['Comedy', 'Drama']",93.0,English,"When a beautiful first-grade teacher arrives at a prep school, she soon attracts the attention of an ambitious teenager named Max, who quickly falls in love with her. Max turns to the father of two of his schoolmates for advice on how to woo the teacher. However, the situation soon gets complicated when Max's new friend becomes involved with her, setting the two pals against one another in a war for her attention.","['Touchstone Pictures', 'American Empirical Pictures']",568020,152056,176511,7800,1772,48469,54395,377317
59,Child's Play,Tom Holland,3.33,['Horror'],87.0,English,An innocent-looking doll is inhabited by the soul of a serial killer who refuses to die.,"['United Artists', 'David Kirschner Productions', 'Metro-Goldwyn-Mayer']",508208,105710,106306,2100,4398,80612,25136,300512
60,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,4.38,"['Fantasy', 'Adventure', 'Action']",179.0,English,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']",3187177,350254,1145750,65000,10467,124838,869950,1954265
61,Heat,Michael Mann,4.28,"['Crime', 'Action', 'Drama']",170.0,English,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,"['Warner Bros. Pictures', 'Regency Enterprises', 'Forward Pass']",968046,211953,339312,25000,1566,48695,202181,703521
62,Empire of the Sun,Steven Spielberg,3.84,"['History', 'War', 'Drama']",153.0,English,"Jamie Graham, a privileged English boy, is living in Shanghai when the Japanese invade and force all foreigners into prison camps. Jamie is captured with an American sailor, who looks out for him while they are in the camp together. Even though he is separated from his parents and in a hostile environment, Jamie maintains his dignity and youthful spirit, providing a beacon of hope for the others held captive with him.","['Warner Bros. Pictures', 'Amblin Entertainment']",146969,41471,32224,1000,370,14146,9951,88902
63,Boyz n the Hood,John Singleton,4.05,"['Drama', 'Crime']",112.0,English,"In the middle of the Los Angeles ghetto, drugs, robberies and shootings dominate everyday life. During these times, Furious tries to raise his son Tre to be a decent person. Tre's friends, on the other hand, have little regard for the law and drag the entire neighborhood into a street war...",['Columbia Pictures'],344535,64976,99897,2100,330,20619,35146,226651
64,Flash Gordon,Mike Hodges,3.24,"['Adventure', 'Science Fiction', 'Action']",111.0,English,A football player and his mates travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,"['Starling Films', 'Universal Pictures', 'Famous Films Productions', 'Flash Gordon Productions', 'DDL Cinematografica']",80801,23848,18069,406,967,12384,3636,46637
65,Spring Breakers,Harmony Korine,2.79,"['Drama', 'Crime']",94.0,English,"After four college girls rob a restaurant to fund their spring break in Florida, they get entangled with a weird dude with his own criminal agenda.","['Iconoclast', 'Rabbit Bandini Productions', 'Division Films', 'Muse Productions', ""O' Salvation"", 'MJZ', 'Pop Films', 'Radar Pictures']",538072,77432,77050,2200,24296,61075,17405,303092
66,The Boxer's Omen,Kuei Chih-Hung,3.78,"['Fantasy', 'Action', 'Horror']",105.0,Cantonese,"After his brother was crippled in the ring by a cheating Thai boxer, Chan Hung goes to Thailand to avenge his brother, and finds the key to an omen which may release their family from an ancient curse. He is then caught up in a spiraling web of fate, Buddhist curses, and black magic.",['Shaw Brothers'],15502,16310,5964,144,92,1490,1653,11379
67,Her,Spike Jonze,3.99,"['Science Fiction', 'Drama', 'Romance']",126.0,English,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",['Annapurna Pictures'],2498989,314073,893819,40000,15808,204815,387111,1708905
68,Django,Sergio Corbucci,3.8,"['Action', 'Western']",93.0,Italian,A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a merciless masked clan and a band of Mexican revolutionaries.,"['Tecisa Film', 'B.R.C. Produzione Film']",69878,24218,20512,372,188,7596,5068,49622
69,Love,Gaspar Noé,3.15,"['Romance', 'Drama']",134.0,English,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the seismic effect it will have on their relationship, they invite their pretty neighbor into their bed.","['Wild Bunch', 'Les Cinémas de la Zone', 'RT Features', 'Rectangle Productions', 'SCOPE Pictures']",219245,34199,43683,2700,6213,28461,13614,137930
70,Possession,Andrzej Żuławski,4.06,['Horror'],124.0,English,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.","['Gaumont', 'Oliane Productions', 'Marianne Productions', 'Soma Film Produktion']",409550,181508,165491,18000,3238,26115,88051,313375
